id,titulo,slug,scoreMeni,aprobadoMeni,nivel,nivelScore,profile,category,palabras
1HmobwfngxeXoUofqosD,"Primeros bebés del Día de las Madres nacen en hospitales de…",primeros-bebes-del-dia-de-las-madres-nacen-en-managua-y-rivas,92,false,RECHAZADO,92,REPORTAJE,Nacionales,572
CypRypZIGLckqywkZq8X,"Nicaragüense sigue desaparecida tras terremotos en Venezuela",nicaraguense-sigue-desaparecida-tras-terremotos-en-venezuela,74,false,RECHAZADO,74,REPORTAJE,Internacionales,435
D7y1TWAyXq7SaNMirIjB,"Dos nicaragüenses fallecen en el extranjero en casos distintos",dos-nicaraguenses-fallecen-en-el-extranjero-en-casos-distintos,80,false,RECHAZADO,80,REPORTAJE,Internacionales,388
EcKTeqT7kLcFElUX3DM2,"Dueño de semovientes paga C$769 mil por muerte en Jalapa",dueno-de-semovientes-paga-c-769-mil-por-muerte-en-jalapa,78,false,RECHAZADO,78,REPORTAJE,Sucesos,377
F4UddilPobcIjIkZ1e55,"Escolta de ULTRAVAL enfrenta juicio por robo en Managua",escolta-de-ultraval-enfrenta-juicio-por-robo-en,78,false,RECHAZADO,78,REPORTAJE,Sucesos,718
JOfOW7uTxkgDSIezo7Wn,"Capturan acusado de agredir a un hombre en Rivas",capturan-acusado-de-quemar-a-un-hombre-en-rivas-nicaragua,84,false,RECHAZADO,84,INVESTIGACION,Sucesos,2201
NA6PqCReq06PdIMSICEe,"Colapsa vivienda ancestral en Monimbó, Masaya: familia de 7 ilesa",colapsa-vivienda-ancestral-en-monimbo-masaya-familia-de-7-ilesa,86,false,RECHAZADO,86,REPORTAJE,Sucesos,2196
e0QJyxs1azyZahzs8VuN,"Venezuela: 164 afectados y 30 mil desaparecidos tras sismos",venezuela-164-fallecidos-y-30-mil-desaparecidos-tras-sismos,88,false,RECHAZADO,88,REPORTAJE,Internacionales,448
i88RK0Ulgkkzyq6YV4Um,"Chinandega estrena 75 viviendas con servicios completos",chinandega-estrena-75-viviendas-con-servicios-completos,88,false,RECHAZADO,88,REPORTAJE,Nacionales,397
ic2YGP8NQAc6r3VMvy9K,"Venezuela: réplicas continúan con 920 víctimas y miles sin rastro",venezuela-replicas-continuan-con-920-victimas-y-miles-sin-rastro,88,false,RECHAZADO,88,REPORTAJE,Internacionales,463
kJZTSfqmUGHJKA8SFaE8,"Julieta Venegas interpreta himno cultural del Mundial 2026",julieta-venegas-presenta-tierra-de-esperanza-rumbo-al-mundial-2026,88,false,RECHAZADO,88,REPORTAJE,Internacionales,375
n2Buq4aBhvnrXUcTlwuD,"Capturan a pinolero por llevarse a niña de 13 años",capturan-a-pinolero-por-llevarse-a-nina-de-13-anos,88,false,RECHAZADO,88,REPORTAJE,Internacionales,360
sH5OCUULzSvZFhRcHXzb,"Cinco agentes fallecen en operativo en Honduras",seis-policias-mueren-en-operativo-antidrogas-en,88,false,RECHAZADO,88,INVESTIGACION,Internacionales,608
7XzL7aTqVYBpTNKgSPxQ,"Puerto Corinto lidera llegada de 11 buques a Nicaragua",puerto-corinto-lidera-llegada-de-11-buques-a-nicaragua,88,false,RECHAZADO,88,REPORTAJE,Nacionales,500
GHbdyeiCzH7Jk0i5RVPA,"Polémica en el Mundial no frena reconocimiento a Tatiana Guzmán",polemica-en-el-mundial-no-frena-reconocimiento-a-tatiana,74,false,RECHAZADO,74,REPORTAJE,Deportes,385
H25VVBdDntQpmy13uxdP,"Incendio destruye vivienda en Monseñor Lezcano y deja un herido",incendio-destruye-vivienda-en-monsenor-lezcano-y-deja-un-herido,70,false,RECHAZADO,70,REPORTAJE,Sucesos,379
